"Timestamp","How much Smalltalk experience do you have?","Where did you gain your Smalltalk experience?","How often do you develop software?","What Smalltalk dialect do you use primarily?","You mainly work ...","I access and/or inspect objects ... [Select:]","I modify variables in inspector windows ... [Select:]","I evaluate code snippets and/or run methods in inspector windows ... [Select:]","I keep inspector windows open for long periods of time. [Select:]","It is easy to access objects. [Confirm:]","Smalltalk offers many ways to access or inspect objects. [Confirm:]","Accessing objects helps me to understand how programs work. [Confirm:]","Accessing objects helps me to get immediate information about objects and/or program states. [Confirm:]","I debug programs ... [Select:]","I modify variables in debugger windows ... [Select:]","I evaluate code snippets and/or run methods in debugger windows ... [Select:]","Debugging programs helps me to understand how the programs work. [Confirm:]","Debugging programs helps me to get immediate information about program behaviors and/or states. [Confirm:]","I modify source code of running programs ... [Select:]","Modifying running programs helps me to understand how programs work. [Confirm:]","When I change the source code of a running program, I expect to see the effect of my changes immediately or very soon after. [Confirm:]","I write code snippets ... [Select:]","Writing code snippets helps me to identify what is the cause of a bug. [Confirm:]","Writing code snippets helps me to learn new libraries and/or programs. [Confirm:]","Writing code snippets helps me to identify how I should structure my source code. [Confirm:]","Writing code snippets helps me to get immediate information about program behaviors and/or states. [Confirm:]","I search for source code examples ... [in example classes and/or methods]","I search for source code examples ... [in class and/or method comments]","I search for source code examples ... [in help and/or example browsers]","I search for source code examples ... [in test cases]","I search for source code examples ... [in general source code]","I search for source code examples ... [on Internet and/or books]","Relevant source code examples are easy to find. [Confirm:]","Source code examples are easy to execute. [Confirm:]","Source code examples are easy to modify. [Confirm:]","Source code examples helps me to learn new libraries and/or programs. [Confirm:]","How often do you ask for examples, program usages, and/or issue solutions ... [to colleagues in person?]","How often do you ask for examples, program usages, and/or issue solutions ... [in chats and/or mailing lists?]","What do you use (attach) when discussing programming issues electronically? [screenshots]","What do you use (attach) when discussing programming issues electronically? [code snippets]","What do you use (attach) when discussing programming issues electronically? [source code]","What do you use (attach) when discussing programming issues electronically? [links to source code]","What do you use (attach) when discussing programming issues electronically? [patches or bug fixes]","What do you use (attach) when discussing programming issues electronically? [stack traces in text forms]","What do you use (attach) when discussing programming issues electronically? [serialized objects and/or programs]","What do you use (attach) when discussing programming issues electronically? [serialized stack traces]","It is easier to read a source code, rather than write a test case for it. [Familiar code]","It is easier to read a source code, rather than write a test case for it. [Unfamiliar code]","It is easier to read a source code, rather than write a code snippet to run it. [Familiar code]","It is easier to read a source code, rather than write a code snippet to run it. [Unfamiliar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Familiar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Unfamiliar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Familiar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Unfamiliar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Familiar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Unfamiliar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Familiar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Unfamiliar code]","Live programming in Smalltalk","Electronic communication in Smalltalk"
"2017/08/03 8:16:48 AM GMT-3","more than 10 years","Primarily in industry","Weekly","Pharo;VisualWorks","alone, without co-workers","Very often","Rarely","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Very often","Rarely","Often","Agree","Agree","Very often","Agree","Agree","Often","Neutral","Agree","Agree","Agree","Rarely","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Rarely","Somewhat agree","Somewhat agree","Agree","Agree","Rarely","Rarely","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do easily","I do easily","I do not, because exchanging it is too complex","I do not want or need","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Disagree","Somewhat agree","Somewhat agree","Neutral","Neutral","",""
"2017/08/03 8:27:52 AM GMT-3","6 to 10 years","In both (academia and industry)","Daily","Pharo;Squeak","in a shared office","Very often","Rarely","Very often","Often","Agree","Agree","Somewhat agree","Agree","Very often","Occasionally/ Sometimes","Regularly","Agree","Agree","Very often","Agree","Agree","","Agree","Agree","Agree","Somewhat agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Often","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Somewhat agree","Rarely","Rarely","I would like, but I am not authorized to do this","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do easily","I do not know","I do not know","Agree","Agree","Disagree","","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 8:30:08 AM GMT-3","2 years or less","Primarily in academia (student, profesor)","Daily","Squeak","alone, without co-workers","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Regularly","Somewhat agree","Agree","Agree","Agree","Often","Often","Often","Agree","Agree","Occasionally/ Sometimes","Agree","Agree","Often","Agree","Agree","Somewhat agree","Agree","Often","Regularly","Regularly","Occasionally/ Sometimes","Regularly","Very often","Somewhat disagree","Somewhat disagree","Somewhat disagree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","",""
"2017/08/03 8:52:36 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks","alone, without co-workers","Very often","Often","Often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Often","Often","Rarely","Agree","Agree","Regularly","Agree","Agree","Often","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Rarely","Rarely","I do not, because exchanging it is too complex","I do not want or need","I do not want or need","I do not want or need","I do not want or need","I do not want or need","I do not want or need","I do not want or need","Somewhat agree","Somewhat agree","Neutral","Neutral","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","Neutral","Somewhat agree","Somewhat agree","provides feedback from ideas/concepts to having the machine demonstrate/validate those ideas/concepts.
A graphical representation of object models could be a more intuitive way of implementing code.","a good idea, taking a text/image messaging system to a more abstract level of a concept exchange system "
"2017/08/03 8:53:38 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo;GemStone;VA Smalltalk","in a shared office","Very often","Very often","Very often","Often","Agree","Somewhat agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Often","Agree","Agree","Neutral","Agree","Occasionally/ Sometimes","Regularly","Regularly","Very often","Very often","Often","Neutral","Somewhat agree","Somewhat agree","Agree","Often","Occasionally/ Sometimes","I do easily","I do easily","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do easily","I would like, but I am not authorized to do this","I do easily","Somewhat disagree","Somewhat agree","Neutral","Somewhat disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 8:56:40 AM GMT-3","2 years or less","Primarily in academia (student, profesor)","Daily","Pharo","alone, without co-workers","Often","Rarely","Rarely","I do not know","Agree","Agree","Agree","Agree","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Somewhat agree","Agree","Occasionally/ Sometimes","Neutral","Agree","Very often","Agree","Agree","Somewhat agree","Agree","Often","Often","Often","Often","Very often","Rarely","Somewhat agree","Somewhat agree","Neutral","Agree","Rarely","Often","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do not want or need","I do not want or need","I do not want or need","Somewhat agree","Somewhat agree","Neutral","Somewhat agree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Somewhat agree","Somewhat agree","Neutral","Neutral","",""
"2017/08/03 9:17:55 AM GMT-3","more than 10 years","Primarily in industry","Less than weekly","Squeak","alone, without co-workers","Very often","Regularly","Regularly","Rarely","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Agree","Occasionally/ Sometimes","Somewhat agree","Agree","Very often","Neutral","Somewhat agree","Somewhat agree","Agree","Rarely","Rarely","Rarely","Rarely","Very often","Rarely","Agree","Neutral","Neutral","Agree","Rarely","Rarely","I do easily","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Disagree","Disagree","Neutral","Neutral","Somewhat agree","Somewhat disagree","",""
"2017/08/03 9:22:53 AM GMT-3","more than 10 years","Primarily in industry","Weekly","VisualWorks","in a shared office","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Neutral","Agree","Agree","Very often","Occasionally/ Sometimes","Rarely","Agree","Agree","Rarely","Neutral","Agree","Very often","Neutral","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Rarely","Regularly","Often","Regularly","Somewhat agree","Agree","Agree","Agree","Occasionally/ Sometimes","","I do easily","I do easily","I do easily","Not applicable","I do easily","I do not want or need","I do not want or need","I do not want or need","Neutral","Somewhat agree","Neutral","Neutral","Disagree","","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Agree","Agree","",""
"2017/08/03 9:24:09 AM GMT-3","more than 10 years","On my own","Weekly","Digitalk (for a prototype;about to change)","alone, without co-workers","Very often","Regularly","Regularly","Rarely","Agree","Agree","Agree","Agree","Regularly","Rarely","Rarely","Agree","Agree","Regularly","Neutral","Agree","Often","Agree","Somewhat agree","Somewhat agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Rarely","Occasionally/ Sometimes","Rarely","Somewhat disagree","Neutral","Neutral","Neutral","Not applicable","Not applicable","I do easily","I do easily","I do easily","I do not want or need","I do not want or need","I do not want or need","Not applicable","Not applicable","Somewhat agree","I do not know","Somewhat agree","I do not know","Agree","Somewhat agree","Agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","","","",""
"2017/08/03 9:24:54 AM GMT-3","more than 10 years","Primarily in industry","Daily","VA Smalltalk","remotely, my co-workers are in other buildings and/or cities","Very often","Often","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Very often","Often","Often","Agree","Agree","Often","Agree","Agree","Regularly","Agree","Agree","Somewhat agree","Agree","Often","Often","Often","Often","Often","Often","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Regularly","Regularly","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat agree","Agree","Agree","",""
"2017/08/03 9:42:43 AM GMT-3","more than 10 years","Primarily in academia (student, profesor)","Daily","Pharo","in a single person office","Very often","Very often","Very often","Regularly","Somewhat disagree","Disagree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","","Neutral","Somewhat agree","Often","Occasionally/ Sometimes","Rarely","Very often","Rarely","Rarely","","","","","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","Disagree","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Somewhat disagree","Neutral","Agree","Agree","Agree","",""
"2017/08/03 9:52:42 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks","remotely, my co-workers are in other buildings and/or cities","Very often","Very often","Very often","Often","Agree","Agree","Agree","Agree","Very often","Regularly","Very often","Agree","Agree","Very often","Agree","Agree","Often","Agree","Agree","Somewhat agree","Agree","Occasionally/ Sometimes","Very often","Occasionally/ Sometimes","Regularly","Very often","Rarely","Somewhat agree","Agree","Agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do not know","I do not know","Agree","Agree","Neutral","Neutral","Somewhat agree","Somewhat agree","Agree","Agree","Neutral","Neutral","Agree","Agree","",""
"2017/08/03 9:58:59 AM GMT-3","more than 10 years","Primarily in industry","Daily","Squeak","in a shared office","Often","Occasionally/ Sometimes","Often","Regularly","Agree","Agree","Agree","Agree","Very often","Regularly","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Very often","Agree","Agree","Neutral","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Rarely","Very often","Rarely","Neutral","Agree","Agree","Somewhat agree","Rarely","Rarely","I do not want or need","I do easily","I do not want or need","I do easily","I do easily","I do not want or need","I do not want or need","I do not want or need","Agree","Agree","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Neutral","Somewhat disagree","Neutral","Neutral","Somewhat disagree","Somewhat disagree","",""
"2017/08/03 10:01:03 AM GMT-3","6 to 10 years","Primarily in industry","Daily","Pharo;vast","in a shared office","Very often","Occasionally/ Sometimes","Very often","Regularly","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Often","Agree","Agree","Often","Neutral","Agree","Often","Agree","Agree","Somewhat agree","Agree","Often","Regularly","Regularly","Often","Regularly","Often","Disagree","Somewhat disagree","Neutral","Agree","Regularly","Regularly","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Neutral","",""
"2017/08/03 10:02:13 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks","remotely, my co-workers are in other buildings and/or cities","Very often","Very often","Very often","Regularly","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Often","Agree","Agree","Often","Agree","Agree","Agree","Agree","Regularly","Regularly","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Rarely","Rarely","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","Disagree","Somewhat agree","Disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","",""
"2017/08/03 10:11:25 AM GMT-3","3 to 5 years","Primarily in industry","Daily","VisualWorks","in a shared office","Very often","Very often","Very often","Very often","Somewhat agree","Somewhat agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Very often","Very often","Rarely","Rarely","Rarely","Rarely","Disagree","Neutral","Neutral","Somewhat agree","Very often","Regularly","I do easily","I do easily","I do easily","I do not want or need","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do not want or need","I do not want or need","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Agree","Agree","","Website is better than mailing list"
"2017/08/03 10:12:55 AM GMT-3","more than 10 years","Primarily in industry","Daily","VA Smalltalk","remotely, my co-workers are in other buildings and/or cities","Very often","Very often","Very often","Very often","Agree","Agree","Agree","Agree","Very often","Often","Often","Agree","Agree","Regularly","Agree","Agree","Very often","Agree","Agree","Somewhat agree","Agree","Regularly","Rarely","Occasionally/ Sometimes","Regularly","Often","Often","Somewhat agree","Somewhat agree","Agree","Agree","Rarely","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do easily","I do not know","I do not want or need","Agree","Somewhat agree","Neutral","Neutral","Agree","Somewhat agree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 10:13:15 AM GMT-3","more than 10 years","Primarily in industry","Less than weekly","VisualWorks;GemStone","in a shared office","Very often","Rarely","Very often","Often","Agree","Agree","Agree","Agree","Very often","Rarely","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Often","Regularly","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Rarely","Occasionally/ Sometimes","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do easily","I do easily","Somewhat agree","Somewhat agree","Neutral","Neutral","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Agree","",""
"2017/08/03 10:14:44 AM GMT-3","more than 10 years","Primarily in academia (student, profesor)","Less than weekly","VisualWorks","in a single person office","Often","Regularly","Often","Very often","Agree","Agree","Agree","Agree","Very often","Often","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Often","Often","Rarely","Rarely","Often","Occasionally/ Sometimes","Disagree","Neutral","Agree","Agree","Rarely","Rarely","Not applicable","I do easily","I do easily","Not applicable","I do easily","Not applicable","Not applicable","Not applicable","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 10:24:48 AM GMT-3","3 to 5 years","Primarily in academia (student, profesor)","Daily","Squeak","in a shared office","Very often","Occasionally/ Sometimes","Very often","Often","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Very often","Agree","Agree","Often","Neutral","Agree","Very often","Neutral","Somewhat agree","I do not know","Neutral","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Regularly","Very often","Rarely","Somewhat agree","Somewhat disagree","Neutral","Agree","Occasionally/ Sometimes","Rarely","I do easily","I do easily","I do easily","I do not know","I do easily","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do not know","Agree","Somewhat agree","Agree","Agree","Somewhat agree","Neutral","Disagree","Disagree","Somewhat disagree","Somewhat disagree","Agree","Agree","Being spoiled by Squeak/Morphic, I find it tedious to inspect objects in ""more professional"" interfaces such as in VASmalltalk. Halos and ""implementors of [a menu item]"" feel much more immediate than ""inspect focused widget [after x sec countdown]"". Still, this is better than in Java applications...

One example where live programming is somewhat hampered in Squeak is developing interfaces with the ToolBuilder. When you change the code that builds the tool (e. g., event or action selectors, layout), you have to close and reopen existing instances of the tool to see the changes (because it does not get rebuilt just because the build code changed, obviously). I would appreciate if the feedback cycle were more immediate there.

I miss the debugging (and programming in the debugger) experience every time I do not work in Smalltalk.","Sometimes I wish that Squeak would interact/integrate better with the OS/Desktop. For example, accept more drag-and-drop objects (than files) under Windows or be able to drag objects out of the Smalltalk environment into other applications. Dragging an object or a stack trace from Smalltalk to the e-mail client, Gmail or a GitHub issue might be cool..."
"2017/08/03 10:49:22 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks","in a shared office","Very often","Regularly","Very often","Often","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Often","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Very often","Very often","Very often","Somewhat agree","Agree","Agree","Agree","Regularly","Regularly","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do not know","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 11:04:50 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo;VisualWorks","remotely, my co-workers are in other buildings and/or cities","Very often","Very often","Very often","Regularly","Agree","Agree","Agree","Agree","Very often","Often","Often","Agree","Agree","Regularly","Agree","Somewhat agree","Very often","Agree","Agree","Agree","Somewhat agree","Very often","Very often","Occasionally/ Sometimes","Very often","Often","Regularly","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Not applicable","Rarely","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Agree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Disagree","Agree","Agree","",""
"2017/08/03 11:16:45 AM GMT-3","more than 10 years","Primarily in industry","Daily","Squeak;VA Smalltalk","in a single person office","Very often","Occasionally/ Sometimes","Very often","Regularly","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Agree","Occasionally/ Sometimes","Agree","Agree","Often","Agree","Agree","Agree","Agree","Regularly","Regularly","Regularly","Regularly","Very often","Often","Somewhat agree","Agree","Agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","",""
"2017/08/03 11:20:29 AM GMT-3","3 to 5 years","hobby","Weekly","Pharo","alone, without co-workers","Very often","Rarely","Often","Regularly","Agree","Somewhat agree","Agree","Agree","Very often","Occasionally/ Sometimes","Often","Agree","Somewhat agree","Very often","Agree","Somewhat agree","Very often","Neutral","Agree","Neutral","Somewhat agree","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Often","Regularly","Regularly","Somewhat agree","Agree","Somewhat agree","Agree","Not applicable","Regularly","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat agree","Agree","Somewhat agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 11:22:06 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks","in a shared office","Very often","Often","Often","Regularly","Agree","Agree","Agree","Agree","Very often","Regularly","Regularly","Agree","Agree","Often","Agree","Agree","Often","Agree","Agree","Agree","Agree","Regularly","Regularly","Occasionally/ Sometimes","Often","Regularly","Rarely","Neutral","Agree","Somewhat agree","Agree","Regularly","Rarely","I do easily","I do easily","I do easily","I do not want or need","I do easily","I do easily","I do not want or need","I do not want or need","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Agree","Agree","Neutral","Somewhat agree","Couldn't live without it, its THE benefit of programming in Smalltalk.",""
"2017/08/03 11:25:34 AM GMT-3","3 to 5 years","Primarily in academia (student, profesor)","Weekly","Pharo;Squeak","in a single person office","Regularly","Rarely","Rarely","Rarely","Agree","Agree","Agree","Agree","Often","Rarely","Rarely","Agree","Agree","Very often","Agree","Agree","Often","Agree","Agree","Agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Somewhat agree","Agree","Agree","Neutral","Rarely","Regularly","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do not know","I do, but exchanging it is (too) difficult","I do not know","I do not know","Agree","Agree","Disagree","I do not know","Somewhat disagree","I do not know","Disagree","I do not know","Agree","I do not know","Disagree","I do not know","",""
"2017/08/03 11:28:22 AM GMT-3","6 to 10 years","In both (academia and industry)","Weekly","Pharo;VisualWorks","in a shared office","Often","Rarely","Regularly","Often","Agree","Somewhat agree","Agree","Agree","Regularly","Occasionally/ Sometimes","Regularly","Agree","Agree","Regularly","Neutral","Agree","Rarely","Somewhat disagree","Neutral","Somewhat agree","Disagree","Rarely","Rarely","Regularly","Regularly","Occasionally/ Sometimes","Rarely","Neutral","Agree","Agree","Agree","Occasionally/ Sometimes","Rarely","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","Neutral","Agree","Somewhat disagree","Agree","Somewhat disagree","Somewhat agree","Disagree","Neutral","Agree","Somewhat disagree","Somewhat agree","",""
"2017/08/03 11:40:45 AM GMT-3","3 to 5 years","In both (academia and industry)","Less than weekly","Pharo","in a shared office","Very often","Regularly","Regularly","Rarely","Agree","Agree","Agree","Agree","Very often","Rarely","Often","Agree","Agree","Very often","Somewhat agree","Agree","Occasionally/ Sometimes","Neutral","","Somewhat agree","Somewhat disagree","Very often","Often","Very often","Regularly","Very often","Often","Neutral","Agree","Agree","Agree","Not applicable","Rarely","I do not know","I do easily","I do easily","I do easily","I do not want or need","I do not know","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat agree","Neutral","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neutral","Somewhat disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 11:45:45 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks","remotely, my co-workers are in other buildings and/or cities","Often","Regularly","Often","Regularly","Somewhat agree","Agree","Agree","Somewhat agree","Very often","Regularly","Often","Agree","Agree","Often","Somewhat agree","Agree","Very often","Somewhat agree","Agree","Neutral","Somewhat agree","Regularly","Regularly","Regularly","Regularly","Often","Regularly","Somewhat agree","Neutral","Neutral","Somewhat agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do not want or need","I do easily","I do easily","I do not want or need","I do not want or need","Neutral","Neutral","I do not know","I do not know","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat agree","Somewhat agree","Consider adding this question to your survey.     I prefer to learn a source code by stepping through examples in the debugger, rather than learning it by reading its source code.",""
"2017/08/03 12:10:41 PM GMT-3","more than 10 years","","Daily","Squeak","alone, without co-workers","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Somewhat agree","Agree","Agree","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Agree","Very often","Somewhat agree","Agree","Occasionally/ Sometimes","Agree","Neutral","Disagree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Not applicable","Rarely","Occasionally/ Sometimes","Rarely","Somewhat disagree","Agree","Agree","Agree","Not applicable","Rarely","I do not want or need","I do easily","I do easily","I do easily","I do easily","I do not want or need","I do not want or need","I do not want or need","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","",""
"2017/08/03 12:28:59 PM GMT-3","more than 10 years","In both (academia and industry)","Daily","Pharo;GemStone;VASmalltalk","remotely, my co-workers are in other buildings and/or cities","Very often","Occasionally/ Sometimes","Regularly","Regularly","Agree","Neutral","Agree","Agree","Very often","Regularly","Often","Agree","Agree","Very often","Agree","Agree","Regularly","Agree","Agree","Neutral","Neutral","Often","Occasionally/ Sometimes","Rarely","Often","Very often","Regularly","Somewhat disagree","Neutral","Agree","Agree","Rarely","Rarely","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","Somewhat agree","Disagree","Disagree","Disagree","Somewhat agree","Agree","Agree","not mine: http://simberon.blogspot.ca/2013/01/swimming-with-fish.html","I wish there was an integrated team communication tool in each image/IDE"
